# https://en.wikipedia.org/wiki/Latitude_and_longitude_of_cities,_A-H
Faroe Islands, Tórshavn, 62, 01, N, 6, 46, W
Fiji Islands, Nadi, 17, 47, S, 177, 29, E
Fiji Islands, Suva, 18, 08, S, 178, 25, E
Finland, Helsinki, 60, 08, N, 25, 00, E
France, Bordeaux, 44, 50, N, 0, 34, W
France, Nice, 43, 42, N, 7, 15, E
France, Paris, 48, 52, N, 2, 20, E
French Guiana, Cayenne, 4, 00, N, 52, 30, W
French Guiana, Gambier Island, 23, 10, S, 135, 00, W
French Polynesia, Papeete, 17, 32, S, 149, 34, W
Gabon, Libreville, 0, 30, N, 9, 25, E
Gambia, Banjul, 13, 28, N, 16, 39, W
Georgia, T'bilisi, 41, 43, N, 44, 49, E
Germany, Berlin, 52, 32, N, 13, 25, E
Germany, Hamburg, 53, 33, N, 9, 59, E
Ghana, Accra, 5, 33, N, 0, 15, W
Gibraltar, Gibraltar, 36, 09, N, 5, 21, W
Greece, Athens, 37, 58, N, 23, 43, E
Greenland, Godthåb, 64, 10, N, 51, 35, W
Greenland, Qaanaaq, 77, 42, N, 68, 30, W
Grenada, Saint George's, 12, 04, N, 61, 44, E
Guadeloupe, Basse-Terre, 16, 10, N, 61, 40, W
Guam, Hagåtña, 13, 28, N, 144, 45, E
Guatemala, Guatemala City, 14, 38, N, 90, 31, W
Guernsey, Saint Peter Port, 49, 27, N, 2, 32, W
Guinea, Conakry, 9, 29, N, 13, 43, W
Guiné-Bissau, Bissau, 11, 52, N, 15, 39, W
Guyana, Georgetown, 6, 48, N, 58, 10, W
Haiti, Port Au Prince, 18, 32, N, 72, 20, W
Honduras, Tegucigalpa, 14, 05, N, 87, 14, W
Hong Kong, Hong Kong, 22, 15, N, 114, 10, E
Hungary, Budapest, 47, 30, N, 19, 05, E
Iceland, Reykjavík, 64, 09, N, 21, 51, W
India, Bangalore, 12, 58, N, 77, 35, E
India, Kolkata, 22, 30, N, 88, 20, E
India, Delhi, 28, 40, N, 77, 14, E
India, Kandla, 23, 03, N, 70, 11, E
India, Mumbai, 18, 56, N, 74, 35, E
India, Nagpur, 21, 10, N, 79, 12, E
Indonesia, Jakarta, 6, 08, S, 106, 45, E
Iran, Mashad, 36, 16, N, 59, 34, E
Iran, Shiraz, 29, 38, N, 52, 34, E
Iran, Tabriz, 38, 05, N, 46, 18, E
Iran, Tehran, 35, 40, N, 51, 26, E
Iraq, Baghdad, 33, 20, N, 44, 26, E
Ireland, Cork, 51, 54, N, 8, 28, W
Ireland, Dublin, 53, 20, N, 6, 15, W
Isle of Man, Douglas, 54, 09, N, 4, 29, W
Israel, Jerusalem, 31, 47, N, 35, 13, E
Israel, Tel Aviv, 32, 5, N, 34, 48, E
Italy, Florence, 43, 46, N, 11, 15, E
Italy, Naples, 40, 51, N, 14, 17, E
Italy, Rome, 41, 48, N, 12, 36, E
Jamaica, Kingston, 17, 58, N, 76, 48, W
Japan, Hiroshima, 34, 23, N, 132, 27, E
Japan, Kagoshima, 31, 37, N, 130, 32, E
Japan, Kobe, 34, 41, N, 135, 12, E
Japan, Kyoto, 35, 1, N, 135, 46, E
Japan, Nagasaki, 32, 47, N, 129, 52, E
Japan, Naha, 26, 12, N, 127, 41, E
Japan, Osaka, 34, 42, N, 135, 30, E
Japan, Sapporo, 43, 05, N, 141, 21, E
Japan, Tokyo, 35, 40, N, 139, 45, E
Jersey, Saint Helier, 49, 11, N, 2, 07, W
Jordan, Amman, 31, 57, N, 35, 56, E
Kazakhstan, Astana, 51, 10, N, 71, 30, E
Kazakhstan, Petropavl, 54, 53, N, 69, 13, E
Kenya, Nairobi, 1, 17, S, 36, 49, E
Kiribati, Tarawa, 1, 30, N, 173, 00, E
Korea, Seoul, 37, 30, N, 127, 00, E
Kuwait, Kuwait, 29, 20, N, 48, 00, E
Kyrgyzstan, Bishkek, 42, 53, N, 74, 46, E
Laos, Vientiane, 17, 58, N, 102, 36, E
Lebanon, Beirut, 33, 52, N, 35, 30, E
Lesotho, Maseru, 29, 19, S, 27, 29, E
Liberia, Monrovia, 6, 18, N, 10, 47, W
Liechtenstein, Vaduz, 47, 08, N, 9, 32, E
Lithuania, Vilnius, 54, 41, N, 25, 19, E
Luxembourg, Luxembourg, 49, 37, N, 6, 08, E
Latvia, Riga, 56, 40, N, 106, 10, E
Libya, Benghazi, 32, 07, N, 20, 04, E
Libya, Tripoli, 32, 54, N, 13, 11, E
Madagascar, Antananarivo, 18, 52, S, 47, 30, E
Malawi, Lilongwe, 13, 58, S, 33, 49, E
Malaysia, George Town, 05, 25, N, 100, 19, E
Malaysia, Johor Bahru, 1, 29, N, 103, 44, E
Malaysia, Kota Bharu, 6, 8, N, 102, 15, E
Malaysia, Kota Kinabalu, 2, 33, N, 102, 10, E
Malaysia, Kuching, 1, 33, N, 110, 25, E
Malaysia, Kuala Lumpur, 3, 08, N, 101, 42, E
Maldives, Malé, 4, 00, N, 73, 28, E
Mali, Bamako, 12, 39, N, 8, 00, W
Mali, Timbuktu, 16, 49, N, 2, 59, W
Malta, Valletta, 35, 54, N, 14, 32, E
Morocco, Rabat, 34, 02, N, 6, 51, W
Marshall Islands, Majuro, 7, 05, N, 171, 08, E
Martinique, Fort-de-France, 14, 36, N, 61, 05, W
Mauritania, Nouakchott, 18, 09, N, 15, 58, W
Mauritius, Port Louis, 20, 10, S, 57, 30, E
Mayotte, Mamoudzou, 12, 47, S, 45, 14, E
Mexico, Chihuahua, 28, 40, N, 106, 06, W
Mexico, Guadalajara, 20, 40, N, 103, 20, W
Mexico, Mexico City, 19, 24, N, 99, 09, W
Mexico, Tijuana, 32, 32, N, 117, 01, W
Mexico, Veracruz, 19, 12, N, 96, 08, W
Micronesia, Federated States of Palikir, 6, 58, N, 158, 13, E
Moldova, Chişinău, 47, 00, N, 28, 50, E
Monaco, Monaco, 43, 45, N, 7, 23, E
Mongolia, Ulaanbaatar, 47, 54, N, 106, 52, E
Montenegro, Podgorica, 42, 28, N, 19, 17, E
Montserrat, Plymouth, 16, 44, N, 62, 14, W
Morocco, Sidi Ifni, 29, 24, N, 10, 12, W
Mozambique, Beira, 19, 49, S, 34, 52, E
Mozambique, Maputo, 25, 58, S, 32, 35, E
Myanmar (Burma), Mandalay, 21, 57, N, 96, 04, E
Myanmar (Burma), Yangon, 16, 47, N, 96, 10, E
Namibia, Lüderitz, 26, 38, S, 15, 10, E
Namibia, Windhoek, 22, 34, S, 17, 06, E
Nepal, Kathmandu, 27, 42, N, 85, 19, E
Netherlands, Amsterdam, 52, 21, N, 4, 54, E
New Caledonia, Noumea, 22, 16, S, 166, 26, E
New Zealand, Auckland, 36, 55, S, 174, 47, E
New Zealand, Timaru, 44, 23, S, 171, 14, E
New Zealand, Wellington, 41, 17, S, 174, 47, E
Nicaragua, Managua, 12, 06, N, 86, 18, W
Niger, Niamey, 13, 32, N, 2, 05, E
Nigeria, Abuja, 9, 10, N, 7, 11, E
Nigeria, Kano, 12, 00, N, 8, 31, E
Nigeria, Lagos, 6, 27, N, 3, 24, E
Niue, Alofi, 19, 01, S, 169, 55, E
Norfolk Island, Kingston, 29, 04, S, 167, 57, E
North Korea, Pyongyang, 39, 00, N, 125, 47, E
Norway, Longyearbyen, 78, 12, N, 15, 40, E
Norway, Oslo, 59, 55, N, 10, 45, E
Oman, Muscat, 23, 37, N, 58, 38, E
Oman, Salalah, 17, 00, N, 54, 04, E
Pakistan, Islamabad, 33, 40, N, 73, 08, E
Pakistan, Karachi, 24, 51, N, 67, 02, E
Palau Islands, Koror, 7, 21, N, 134, 31, E
Panama, Panama City, 8, 58, N, 79, 32, W
Papua New Guinea, Port Moresby, 9, 30, S, 147, 07, E
Paraguay, Asunción, 25, 16, S, 57, 40, W
Peru, Arequipa, 16, 25, S, 71, 32, W
Peru, Iquitos, 3, 51, S, 73, 13, W
Peru, Lima, 12, 03, S, 77, 03, W
Philippines, Manila, 14, 35, N, 120, 59, E
Pitcairn Islands, Adamstown, 25, 04, S, 130, 05, W
Poland, Warsaw, 52, 15, N, 21, 00, E
Poland, G'dansk, 54, 23, N, 18, 40, E
Portugal, Lisbon, 38, 44, N, 9, 08, W
Puerto Rico, San Juan, 18, 28, N, 66, 07, W
Qatar, Doha, 25, 15, N, 51, 36, E
Republic of Congo, Brazzaville, 4, 14, N, 15, 14, E
Republic of Macedonia, Skopje, 42, 00, N, 21, 28, E
Réunion, Saint-Denis, 20, 52, S, 55, 27, E
Romania, Bucharest, 44, 26, N, 26, 06, E
Russia, Chita, 52, 03, N, 113, 35, E
Russia, Krasnodar, 45, 02, N, 39, 00, E
Russia, Moscow, 55, 45, N, 37, 42, E
Russia, Omsk, 54, 59, N, 73, 22, E
